,id,id2,latitude,longitude
265,4961124,SAMN04961124,28.74,-88.37
266,4961126,SAMN04961126,28.74,-88.37
267,4961123,SAMN04961123,28.74,-88.37
268,5194319,SAMEA4017660,None,None
269,4870528,SAMN04870528,36.76612,24.515300000000025
270,5189117,SAMEA4017149,None,None
0,9091257,SAMN09091257,34.689258,33.038158
1,10748057,SAMEA5207829,65.34521,146.9191
2,10132597,SAMN10132597,37.211278,-80.443639
3,10132585,SAMN10132585,37.211278,-80.443639
4,10132586,SAMN10132586,37.215000,-80.442278
5,10132589,SAMN10132589,37.215000,-80.442278
6,10132590,SAMN10132590,36.662639,-76.733972
7,10132587,SAMN10132587,36.662639,-76.733972
8,10132605,SAMN10132605,36.662639,-76.733972
9,10132602,SAMN10132602,36.662639,-76.733972
10,10132608,SAMN10132608,36.662639,-76.733972
11,10132588,SAMN10132588,37.211278,-80.443639
12,10132606,SAMN10132606,37.211278,-80.443639
13,10132591,SAMN10132591,37.211278,-80.443639
14,10132596,SAMN10132596,36.662639,-76.733972
15,10132593,SAMN10132593,36.662639,-76.733972
16,10132592,SAMN10132592,37.215000,-80.442278
17,10132594,SAMN10132594,37.211278,-80.443639
18,10132598,SAMN10132598,37.215000,-80.442278
19,10132595,SAMN10132595,37.215000,-80.442278
20,10132603,SAMN10132603,37.211278,-80.443639
21,10132599,SAMN10132599,36.662639,-76.733972
22,10132601,SAMN10132601,37.215000,-80.442278
23,10132611,SAMN10132611,36.662639,-76.733972
24,10132607,SAMN10132607,37.215000,-80.442278
25,10132604,SAMN10132604,37.215000,-80.442278
26,10132609,SAMN10132609,37.211278,-80.443639
27,10132610,SAMN10132610,37.215000,-80.442278
28,10132612,SAMN10132612,37.211278,-80.443639
29,10132613,SAMN10132613,37.215000,-80.442278
30,10132584,SAMN10132584,36.662639,-76.733972
31,10132600,SAMN10132600,37.211278,-80.443639
32,4352292,SAMEA3539301,63.88306,-149.22556
33,2863107,SAMEA2468440,-35.10537036,139.27284046
34,2941885,SAMEA2553414,-35.10687879,139.27240269
35,9791825,SAMEA4378227,28,38
36,7337507,SAMEA104055722,None,None
